label,review,reviewdate
5,Its great,1/1/2023
5,"Provides a useful brief, easy to follow summary on initiating and planning projects.",3/1/2023
3,Material is very detailed which is both a positive and negative. It gets a little redundant and some things are just common sense. You can tell the instructor is trying to be upbeat but is very clearly reading off of cue cards so its a little flat. For a free course you get a lot of information and it is very easy to get a 100 on every quiz.,5/1/2023
5,Very professional & helpful,7/1/2023
5,Excellent coverage of the topic of Initiating and Planning Projects.,9/1/2023
5,"Love the Bonus video part of the course! The course has a simple structure and helps you work through the key factors in Project Management efficiently. I recently began to work on a project. With the ios App and self-paced course, I can learn the course while I am commuting between work and home in one week. I plan to work on stakeholder registry and WBS with team members to bring the concepts into practice. Big applause to Meloni!",11/1/2023
5,very knowledgable!,13/1/2023
5,it is really good and worth the time,15/1/2023
5,very insightful. making clear the principles that have been applied in several projects i have played a part in.,17/1/2023
3,"Informative and clearly structured course. However, its content is aimed at professional project managers - useful but not exactly what I was looking for !",19/1/2023
3,Good way to refresh your knowledge about PMP .. but not qualifying as a professional course,21/1/2023
5,"good structure, provides a good review of how to structure and manage project.",23/1/2023
5,Great! Concise and useful course. Good introduction in Project Management. On the right way to PMP.,25/1/2023
5,A really good introduction to project management!,27/1/2023
4,A great kind of teaching by the professors!,29/1/2023
5,"very useful course, thanks.",31/1/2023
4,"I just finished week 2 (of 6) and I feel like I am learning. I am taking this course because I am an entrepreneur and would like to acquire tools and techniques and explore processes that can help me manage my companys projects. Though we are a year in, this is a great guide for starting to rein in runaway work and control the processes of the organization.",2/2/2023
4,Its a very interesting course in order to get a overview about all processes involved in project management and how important they are.,4/2/2023
4,Good course with best reading materials,6/2/2023
5,"Amazing intro, i must say as a former Pr mger this has bring up some really usefull advices and great basis.",8/2/2023
4,A very good course which taught me several things on Initiating and planning projects. The course was simple and very clear.,10/2/2023
4,Lessons are not compatible with tablets.,12/2/2023
5,That Course Was Awesome :D,14/2/2023
4,A good starter on the topic of project management!,16/2/2023
1,This class is taught a terrible pace and is very old-school in its thinking. It was pretty painful to get through actually,18/2/2023
4,"Well structured course, great presenter, really interesting materials, overall the whole 3 Part course is well worth doing. The bonus videos that the presenter does on real life examples are excellent and Ive watched some of them multiple times. The course is useful not only aa good introduction to PM tools and techniques but also to reinforce what the role of the project manager actually is.",20/2/2023
3,I think the discussion on initiating and planning projects could be improved to be a bit more comprehensive and It would be great if the lecture slides were downloadable.,22/2/2023
5,"I really liked the practical examples given by the instructor, Margaret Meloni, and the interviewees.",24/2/2023
5,The course material and length was perfect!,26/2/2023
5,Great Course,28/2/2023
5,Thank you!,2/3/2023
5,"Great course, great methodology and great teacher, its all I have to say. Its easy for you to learn and to visualize where to apply in real life the knowledges acquired here.",4/3/2023
5,Excellent .... to start and project planning and if you want to start the project management specialization.,6/3/2023
2,"Some good concepts and stories, but lacking in specific techniques.",8/3/2023
5,Very informative. I really like the case studies and also the panel discussion at the end.,10/3/2023
5,This is the best course I have ever seen. Margaret Meloni is an amazing speaker. Its really a pleasure to hear her. Her explanations and real-life examples help understand the topic very fast. I recommend this course to everyone who are in any way related to project management.,12/3/2023
5,The course is a fantastic refresher on basic principles of Project Management. Margaret Meloni presents material in an engaging format. In fact you can see her wealth of experience shine throughout the whole course. Case studies and panel interviews also did add a bit of practical flavour to PMBOK fundamentals. Recommended by a Project Manager!,14/3/2023
5,I love it! I am excited that it is an encouragement for me to enroll in and complete the specialization.,16/3/2023
3,The course is great resource of information. The biggest drawback is the need of using Flash to view most of the lecture. This limited my ability to went through the course on time - I attend Coursera courses using my iPhone while commuting and it is not possible for this course.,18/3/2023
4,"This course was tremendously helpful for someone who, like myself, may have a background in planning but was never taught a formal approach to it. It really was a pleasant surprise to find this course.",20/3/2023
5,Great course. It definitely was a little bit more challenging than the prior ones. The last video with the three Project Management professionals was really helpful!,22/3/2023
5,"This is a relatively short, to-the-point summary of the main project management tasks and challenges.I absolutely recommend it.",24/3/2023
5,it is best pathway to learn about how to deal with different projects .Every manager must do this for better result,26/3/2023
4,I think it should have a webboard to ask between teacher and student or other students.,28/3/2023
5,"Excellent course, especially for project managers like me, who have not had a formal training of project management. This course showed me several ways to do things in project planning that I have been doing the same way over the years. It has also impressed upon me, the importance of getting formal education/training to get to a higher level of understanding.",30/3/2023
5,Enjoyed refreshing through this Course,1/4/2023
5,Very good introduction and nice ideas are put into the course. Really enjoing it.,3/4/2023
4,"I like this course , iits full of good information about projects managmentThaks coursera !",5/4/2023
3,"It isnt as engaging as I thought it would be. Since this is an introductory course, it would have helped if this were more interactive to build the interest for the latter courses.",7/4/2023
3,"The course, as intended probably, is theoretical and gives a good snapshot of project management. Following the PMBOK guide and covering all the relevant portions in the limited time deserves an applause. The only area of improvement, I felt, was the case study.It could have been a little more detailed and has scope of increased level of difficulty. A good course overall and beneficial in almost all walks of work :) Thank you !",9/4/2023
4,"Course goes over the most basic points, but also allows you (if you are interested) to dive much deeper into the content. Seems it has everything any project manager would want, so definitely worth taking. Would have wanted the questions to be a little more difficult and potentially more questions to help make sure the information was retained. Overall a great course.",11/4/2023
4,"The course was very helpful for undersatnding basic concepts in project management, with interesting and insightful use cases. The pacing is excellent, lectures are just the right length to not get you overfluded with information.",13/4/2023
5,Great course!,15/4/2023
4,"The content is great, but the most part is presented using flash-based pages :/",17/4/2023
5,"Very good courses, it is practical and clear. Everyone should have taking a such courses, because it is in every day life.",19/4/2023
5,Really useful!,21/4/2023
5,very helpful,23/4/2023
5,Good information well presented. An excellent intro to this discipline.,25/4/2023
5,Very convenient and excellent review material for us engineers.,27/4/2023
4,Its really a good course to take a first step in project management,29/4/2023
4,A good course introducing Project management,1/5/2023
5,"Project management is usually associated with nervous activities and hard emotional states of participants but Margaret Meloni shows that it can be calm and smooth with excellent and clear explanations! Its amazing, she changed my mind!!!",3/5/2023
3,"Very informative, and easy to follow format.",5/5/2023
3,Need to me more technical. It was covering very basic concepts,7/5/2023
5,"Quite simple but useful course, especially useful are the additional flash presentations.Thanks a lot!",9/5/2023
5,Good course for foundation in new projects.,11/5/2023
4,Very clear and well organized,13/5/2023
5,Really nice course.,15/5/2023
4,The course is well organized and useful. The slide is illustrative and clear.,17/5/2023
5,really good starter for fresh PM.,19/5/2023
4,Simple and direct. It is a perfect introduction to basic project management terminology.,21/5/2023
5,I am learning so much! Great Instruct,23/5/2023
5,"Nice course, excellent info and materials for a basic project manager. Thanks",25/5/2023
5,I really appreciate to learn this course - Ive got a lot of answers for my daily questions.,27/5/2023
4,Need to download the reading lessons for offline reading,29/5/2023
5,"Doing this course Initiating and Planning Projects gives learners, practical skills on Project management based on PMBOK methodology which is framed by PMI based on contributions from experienced professionals in the field. Prof Margaret Meloni is a great teacher. Students will enjoy her crisp, clear and lucid style of communicating ideas. Slides are well designed. Video quality and sound quality is also great. You will encounter lots of good quality reading materials. Quizzes will help you to test your knowledge as you progress. Overall, an excellent course fit for project managers and project team members who work for construction projects. Also good for the aspiring project managers. Thanks to Prof Margaret and UC Irvine for the great course.",31/5/2023
5,Very useful,2/6/2023
5,Excellent course - covers many strategies on how to negotiate as well as providing insight into the negotiation process.,4/6/2023
5,very helpful framework about conducting negotiations. the BATNA model is easy to remember and easy to apply. a model that will stay with me forever,6/6/2023
5,Fire! Thanks!,8/6/2023
5,"course content was extremely good but week 7 exam was not up to the mark. I attempted the exam twice to came to know that two of the above means first and 2nd option not 3rd and last option. Also, some of the questions were very confused hard to understand. Test needs very much betterment",10/6/2023
4,"This course was extremely valuable to me. Theoretical knowledge especially. My two points for possible improvement, most probably subjective, would be:1.The course is too slow-paced. There is a bit too much of an auxiliary talk, which may distract from the essential knowledge.2.While the course offers some state of the art practical examples, a little more interactive approach would probably immensely increase student involvement and hence help keep attention and distinguish important points.Lastly, at every start of the week, I was asked to do a test quiz to asses my knowledge from that week. This is very strange. The test quizzes should most definitely be offered only in the end of a week, AFTER I have acquired knowledge, and not before.",12/6/2023
5,"I would like to thank Coursera and the University of Michigan for this amazing resource. The course is a great opportunity to acquire essential knowledge to better prepare and perform in negotiation situations, and to be more efficient on daily situations.",14/6/2023
4,"This course helps me much in real life. It improves my negotiation skill in many situations of life.But I think it has a little bit much USs law, it is not really helpful for everybody, but some specific region.",16/6/2023
4,"Course is great, it might be helpful in negotiations at every aspect of life. It also shed the light onto aspects of different laws and contract rules. Still, the final grade is a bit complex taking into account the previous ones are light.",18/6/2023
5,"excellent and worthwhile. Professor is a gentleman, who thoroughly expla",20/6/2023
5,"I am glad that I participated in this course. Everything was clear, lectures were interesting, a lot of tips and cases to ilustrate theory and practical exercise. The final test was difficult, but if something comets too ease, we do not appreciate it. Recommended!",22/6/2023
5,The most informative platform I have ever experienced through online.The lessons are really worthful.Looking forward for more courses.,24/6/2023
4,Great course. Lays out the process of proper negotiation well.,26/6/2023
5,A very nice introduction to negotiation.,28/6/2023
4,"This is a very dense course, offering a quite detailed information and technique on negotiation. While the focus is very much on business deal negotiations, one can pick up transferable skills to apply in other areas. While the knowledge gained through this course is not directly applicable in my area of work, it is a useful course to have taken.",30/6/2023
5,I had a great time attending this course. Its like a long journey which you dont want to come to an end. Dr. George Sidel and his great efforts behind creating this course should sure be applauded.,2/7/2023
5,Great course! It was an opportunity for me to delve into negotiations despite my engineering background.,4/7/2023
4,"The course is great, but the title was misleading for me. I would call it Contract Negotiation, because there is a lot of information on the laws and the specifications of contract signing that I think are too specific to be present in a general negotiation course. Other than that, the teacher is great and the tests/exams also allow for a continuous notion of our progression.",6/7/2023
5,"I loved this course, and im so happy to have been learned a lot with the best professor of negotiation",8/7/2023
5,"Excellent video lectures and well prepared textbook together provide a rich context to understand the best practices of Negotiation, Alternative Dispute Resolution and Deal Making strategies that apply in many aspects of business and personal life.",10/7/2023
